"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","significance"
"MRTFB",1.22342830468639e-47,-2.16151902373218,1,1,4.47114108230688e-43,"Upregulated in Coldspots"
"ZG16",1.26236569135215e-47,4.91419175144348,0.253,0.018,4.61344165561555e-43,"Upregulated in Hotspots"
"AC092068.3",1.28700040836679e-47,1.08238860491318,0.317,0.045,4.70347169241725e-43,"Upregulated in Hotspots"
"MFAP3L",1.293925657536e-47,1.16163528550774,0.833,0.533,4.72878070803107e-43,"Upregulated in Hotspots"
"HIST1H2AE",1.31391087246884e-47,0.528321137386703,0.986,0.999,4.80181867452463e-43,"Upregulated in Hotspots"
"ZDHHC20-IT1",1.32958180777071e-47,1.31052829116704,0.209,0,4.85908967467884e-43,"Upregulated in Hotspots"
"AL606516.1",1.34400684491514e-47,1.40005412664721,0.22,0.004,4.91180741542688e-43,"Upregulated in Hotspots"
"MUTYH",1.42454241048225e-47,-0.887048501011448,0.961,0.398,5.20613269334843e-43,"Upregulated in Coldspots"
"MIA",1.43359355689269e-47,1.72487683306576,0.229,0.008,5.23921101302003e-43,"Upregulated in Hotspots"
"AC103808.2",1.43638803831315e-47,4.04402043055438,0.218,0.003,5.24942372481924e-43,"Upregulated in Hotspots"
"AC093425.1",1.44062641726654e-47,0.823372529268853,0.369,0.067,5.26491330454228e-43,"Upregulated in Hotspots"
"GRIPAP1",1.48362998857559e-47,-0.372749474619961,1,0.577,5.42207415624835e-43,"Upregulated in Coldspots"
"RDH5",1.4840977106001e-47,0.276011636964145,0.627,0.189,5.42378349315912e-43,"Upregulated in Hotspots"
"LINC01428",1.51195810342181e-47,0.799692051792986,0.262,0.02,5.52560208476535e-43,"Upregulated in Hotspots"
"AC018845.1",1.52983692116687e-47,1.47075366460242,0.232,0.009,5.59094201209643e-43,"Upregulated in Hotspots"
"CAPNS1",1.53653242576862e-47,-0.787444780553453,1,1,5.615411403214e-43,"Upregulated in Coldspots"
"INTS8",1.56493316571838e-47,0.277606653722211,1,0.991,5.71920474743439e-43,"Upregulated in Hotspots"
"AL353586.1",1.59073097797918e-47,0.979597900749046,0.253,0.017,5.81348543212271e-43,"Upregulated in Hotspots"
"LINC00923",1.60490243681891e-47,1.56679126673872,0.606,0.225,5.86527644559841e-43,"Upregulated in Hotspots"
"PPP2R2C",1.61938434366573e-47,1.43788211764629,0.22,0.004,5.91820202236079e-43,"Upregulated in Hotspots"
"L1CAM",1.62271478544181e-47,1.57303978118577,0.217,0.003,5.93037345487564e-43,"Upregulated in Hotspots"
"CYYR1",1.68067780802885e-47,-1.53904697534526,0.412,0.086,6.14220511722223e-43,"Upregulated in Coldspots"
"GALNT17",1.68663657246735e-47,3.02105007274649,0.726,0.241,6.16398201773918e-43,"Upregulated in Hotspots"
"DOK2",1.80956147809076e-47,-1.56963380216542,0.16,0.497,6.61322337783049e-43,"Upregulated in Coldspots"
"SIT1",1.81214966651088e-47,0.41937930965273,0.335,0.062,6.62268217123066e-43,"Upregulated in Hotspots"
"ATOH8",1.90040076155558e-47,-0.488208016255742,0.597,0.19,6.94520462318103e-43,"Upregulated in Coldspots"
"AL360091.3",1.90946697697138e-47,-1.23497160787926,0.945,0.851,6.97833801403962e-43,"Upregulated in Coldspots"
"AC011503.1",1.9368257379552e-47,-1.00658832353482,0.749,0.752,7.07832334193109e-43,"Upregulated in Coldspots"
"PKIA",1.95064096203173e-47,-1.4162345703329,0.77,0.914,7.12881245984116e-43,"Upregulated in Coldspots"
"RPS6KB1",1.97265822488854e-47,0.370234857598092,1,1,7.20927674867766e-43,"Upregulated in Hotspots"
"AL391845.2",2.02679118460159e-47,1.65198598181365,0.22,0.004,7.40711106324497e-43,"Upregulated in Hotspots"
