gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
MAN2C1,1.0820056271774493e-5,-0.9237832853681138,1,0.973,0.39542977650827066
LZTS1-AS1,1.0958846074461008e-5,-1.8232975207896294,0.121,0.185,0.400501988637252
AC097515.1,1.0993730145559349e-5,-1.852854059863155,0.805,0.438,0.401776861899612
AL136169.1,1.1001999389325829e-5,-0.4600306723920706,0.564,0.373,0.4020790696823017
LIPH,1.100337969871564e-5,-1.8245993589409668,0.208,0.133,0.40212951446926176
MLKL,1.1115689675055615e-5,-0.5950962760893246,0.879,0.552,0.4062339948645825
KIAA1191,1.1171972447241923e-5,-0.41052802735270877,0.996,0.994,0.40829090505690335
AC078955.1,1.1175334617074348e-5,2.266366855554373,0.101,0.053,0.40841377891559916
GPRC5D-AS1,1.1215781708335143e-5,-0.9056283850894904,0.987,0.845,0.4098919583128161
LINC02365,1.1290831797283892e-5,0.6952491888105827,0.268,0.176,0.41263473886353713
WRAP73,1.1345695774543863e-5,-0.8493541129764113,0.998,0.871,0.41463979777648
LINC01471,1.1366405830486418e-5,0.4025209043618796,0.055,0.127,0.41539666748095666
AC100821.2,1.1373405443922062e-5,0.3553250661333003,0.298,0.189,0.4156524753535757
NHLRC2,1.1403201841245131e-5,-0.27423658056446876,1,1,0.41674141449014457
AL691447.2,1.1425268826360513e-5,-0.8079925436517357,0.798,0.67,0.4175478745281713
NUP210L,1.143812486477508e-5,-1.3346465792070243,0.599,0.599,0.41801771130807003
GPR176,1.1467366958077674e-5,-1.1924235525064892,0.511,0.479,0.4190863928499067
PIK3IP1-AS1,1.1505644095065775e-5,-0.950220667634238,0.765,0.504,0.4204852690982738
GXYLT2,1.154752933123067e-5,-1.2384897681410503,0.8,0.512,0.4220160069391561
APOBEC3G,1.1610840359120999e-5,-0.6203791471458073,0.702,0.448,0.42432977176443604
THRB-IT1,1.1663301733888128e-5,-1.003521538587977,0.871,0.523,0.4262470251666755
