"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
1.11263984845032e-40,0.90144109600124,1,1,4.06625359014653e-36,"N2","HIST1H1E"
1.22209823596872e-40,1.19763937067495,0.443,0.225,4.4662802131713e-36,"N2","AC026336.2"
4.52797164516037e-40,3.77516771945324,0.507,0.292,1.65479251744031e-35,"N2","RHAG"
4.54206049828676e-40,1.25998335546314,0.462,0.246,1.65994142970388e-35,"N2","AC009570.2"
1.13110655761024e-39,0.896877379059085,0.706,0.491,4.13374202544239e-35,"N2","PLCXD3"
1.48101405876794e-39,1.52131049402946,0.265,0.098,5.41251397917331e-35,"N2","TRIM10"
6.05478821569997e-39,0.487478567622685,1,1,2.21278290130971e-34,"N2","MFN2"
1.52446176667758e-38,0.638184039600564,0.958,0.926,5.5712979724999e-34,"N2","HIST1H2AL"
1.54274624139144e-38,1.15376211026967,0.576,0.373,5.63812041378914e-34,"N2","RHEX"
1.69792139084499e-38,0.306949208437745,0.382,0.181,6.20522351498208e-34,"N2","MUC5B"
2.08352886354078e-38,1.57876230439066,0.623,0.824,7.61446458469612e-34,"N2","ZNF846"
2.12438133216192e-38,1.24623107335522,0.478,0.266,7.76376401651896e-34,"N2","TEX49"
2.26454470366648e-38,1.27650867216185,0.559,0.362,8.27600507401953e-34,"N2","ABHD1"
3.26665429754183e-38,1.3369167277147,0.452,0.244,1.19383147957964e-33,"N2","GYPE"
1.13345126605975e-37,1.42549181883539,0.308,0.131,4.14231099694197e-33,"N2","AC107032.3"
1.63807690289912e-37,1.51877934938454,0.258,0.097,5.98651584933512e-33,"N2","AL021707.4"
2.51319961072688e-37,1.01533727439852,0.66,0.489,9.18473929736245e-33,"N2","TMEM125"
5.4659800293769e-37,1.1798903650259,0.465,0.258,1.99759706153608e-32,"N2","AP001468.1"
5.69328304870699e-37,0.509703983988322,0.758,0.527,2.08066722298046e-32,"N2","HAMP"
6.23032027312057e-37,0.911386024201155,0.497,0.286,2.27693284701465e-32,"N2","BX664727.3"
7.99658034786981e-37,1.20461872338419,0.881,0.82,2.9224302539325e-32,"N2","ESR1"
8.63486117538335e-37,1.39271176022739,0.454,0.245,3.1556963651556e-32,"N2","AC008278.1"
8.79334505861688e-37,1.2793710404055,0.354,0.163,3.21361588512213e-32,"N2","VWA5B2"
1.83117524369201e-36,0.41722604710174,1,1,6.69221304559681e-32,"N2","RUFY1"
2.25496910700297e-36,1.45999626505093,0.3,0.129,8.24101009845304e-32,"N2","AL139398.1"
2.27428306590072e-36,1.22434735965231,0.486,0.281,8.31159489264077e-32,"N2","GPR37L1"
2.39019416967356e-36,1.2268476620079,0.329,0.148,8.73520361248899e-32,"N2","AC092794.2"
5.58837549471024e-36,0.590361735866878,0.944,0.902,2.04232770829681e-31,"N2","ARFGEF3"
1.2023335092058e-35,0.881526374408774,0.693,0.524,4.39404804274351e-31,"N2","CDH2"
2.04183445743154e-35,1.13111138695625,0.557,0.35,7.46208820812931e-31,"N2","AC009562.1"
4.14536752283566e-35,1.01489845746077,0.63,0.421,1.51496601489552e-30,"N2","AL022345.4"
4.34814297649112e-35,1.27297682092393,0.78,0.668,1.58907233218844e-30,"N2","TMEM212-AS1"
4.53265896686089e-35,2.22664033138891,0.527,0.32,1.65650554602898e-30,"N2","LINC01541"
4.89437107112603e-35,0.743855091615092,0.63,0.46,1.78869685165372e-30,"N2","PTPRR"
4.95976954484329e-35,1.16976772420135,0.501,0.298,1.81259737785843e-30,"N2","AC090403.1"
7.00744979735871e-35,1.73682734610246,0.576,0.366,2.56094260294271e-30,"N2","AC103764.1"
1.0320673472613e-34,1.27264290659877,0.377,0.188,3.77179332730114e-30,"N2","AC093722.1"
1.27112410777309e-34,0.991977604275558,0.664,0.48,4.64545016426754e-30,"N2","ALDH1A3"
3.010090985382e-34,0.990215092764016,0.777,0.606,1.1000678515177e-29,"N2","TNS4"
6.15967159443091e-34,0.574004210732349,0.88,0.789,2.25111358090072e-29,"N2","AL021918.5"
7.80346986523415e-34,1.19151605367922,0.957,0.924,2.85185609694847e-29,"N2","PPM1H"
7.92638896614056e-34,0.601286536608591,1,0.999,2.89677811156573e-29,"N2","FANCI"
7.94814924736232e-34,0.556475364773731,0.996,0.998,2.90473062394103e-29,"N2","MPV17"
8.68893863935168e-34,0.881696806375407,0.469,0.271,3.17545951513746e-29,"N2","CYP4A22"
9.12098369793541e-34,1.18090397998753,0.468,0.275,3.33335470224748e-29,"N2","AC023043.4"
9.77521429138516e-34,0.74572835094404,0.791,0.62,3.57244981492962e-29,"N2","LGALSL-DT"
1.14669079025315e-33,3.11657314795965,0.457,0.705,4.19069616205916e-29,"N2","AC007364.1"
1.15045558045821e-33,2.38018285275662,0.225,0.084,4.20445496434257e-29,"N2","AL365204.1"
2.32331948192137e-33,0.723249122452227,0.539,0.309,8.49080337862986e-29,"N2","C3orf84"
3.89702379467616e-33,1.19824762306911,0.821,0.72,1.42420631600235e-28,"N2","ACAP1"
5.13173581258008e-33,0.763612540193478,0.966,0.946,1.87544417006552e-28,"N2","ABHD8"
8.65546557065326e-33,0.532667326183134,0.874,0.787,3.16322644745094e-28,"N2","AL157911.1"
9.93905638040359e-33,0.483755303990244,0.989,0.964,3.6323275447823e-28,"N2","MDP1"
9.95445064246449e-33,0.310213268283892,0.469,0.724,3.63795353179507e-28,"N2","MICU3"
1.23847258148506e-32,0.360410068733721,1,1,4.52612189629531e-28,"N2","SYF2"
1.32925757394317e-32,1.19195863127589,0.304,0.14,4.85790472973272e-28,"N2","AC010991.1"
1.45910191931973e-32,1.35734546335859,0.466,0.273,5.33243387434589e-28,"N2","AL603832.2"
1.71644969653017e-32,0.795285325771161,0.931,0.9,6.27293706093915e-28,"N2","DLGAP5"
1.76500118489786e-32,0.785088038671779,0.661,0.494,6.45037333032772e-28,"N2","EP300-AS1"
1.76855226592887e-32,0.646000477810794,0.703,0.531,6.46335111106363e-28,"N2","SPN"
1.87565898944342e-32,8.32026797734702,0.789,0.695,6.85478334281993e-28,"N2","ANK1"
2.71071916369524e-32,1.09260467463476,1,0.999,9.90659425564062e-28,"N2","RCC1"
2.83528170818848e-32,0.669144678042908,0.723,0.543,1.03618205307456e-27,"N2","LINC02027"
3.95413421789294e-32,0.582941152914454,0.997,0.987,1.44507789127115e-27,"N2","HIST1H2AH"
