"from","to","z","observed","expected","sd_null","week","k","scope","density_bin","obs_minus_exp","obs_over_exp","log2_obs_over_exp","p_adj","significant"
"STB","maternal macrophages",-0.60538099536582,4,5.58,2.60992666021809,8,8,"density_stratified",1,-1.58,0.716845878007734,-0.480265120300451,0.844958126354554,FALSE
"unknown2","maternal macrophages",-0.632810743545317,0,0.48,0.758520622892704,8,8,"density_stratified",1,-0.48,0,-29.8973528539863,0.83395584526044,FALSE
"unknown3","maternal macrophages",-1.27833391368965,1,4.91,3.05866875379707,8,8,"density_stratified",1,-3.91,0.203665987738561,-2.29572301775016,0.597867211656127,FALSE
"vCTB2","maternal macrophages",-0.467914719837778,17,19.32,4.95816844645625,8,8,"density_stratified",1,-2.32,0.879917184219466,-0.184560346245802,0.880236842765724,FALSE
"vCTBp","maternal macrophages",-0.479484319493581,0,0.35,0.729950876996722,8,8,"density_stratified",1,-0.35,0,-29.8973528539863,0.877274718529405,FALSE
"Endothelial_cells","STB",0.544712370575387,12,10.22,3.26777964960672,8,8,"density_stratified",1,1.78,1.17416829734108,0.231639210645791,0.860206894478159,FALSE
"EVT2","STB",-0.0076090815923877,31,31.05,6.57109526101189,8,8,"density_stratified",1,-0.0500000000000007,0.998389694009714,-0.00232505154768558,0.998202871861338,FALSE
"EVT3","STB",-0.757311699644017,5,7.53,3.34076444406173,8,8,"density_stratified",1,-2.53,0.664010624081805,-0.590721768028735,0.797383369095283,FALSE
"Fibroblast1","STB",0.285842525168809,24,22.35,5.77240912190977,8,8,"density_stratified",1,1.65,1.07382550330766,0.10275957570416,0.924213929408791,FALSE
"Fibroblast2","STB",0.201164420501264,146,143.62,11.831118017134,8,8,"density_stratified",1,2.38,1.01657150813942,0.0237117028877239,0.945038282579912,FALSE
"Hofbauer cells","STB",-0.479538555889478,46,49.73,7.7783109485364,8,8,"density_stratified",1,-3.73,0.924994972834808,-0.112482568440356,0.877274718529405,FALSE
"maternal macrophages","STB",-0.241883159058303,4,4.56,2.31516738055805,8,8,"density_stratified",1,-0.56,0.877192982263774,-0.189033823061725,0.93564146768994,FALSE
"STB","STB",1.89072559503226,22,14.39,4.02490981139938,8,8,"density_stratified",1,7.61,1.52883947174921,0.612436932515121,0.324364797934466,FALSE
"unknown2","STB",-1.15263710823672,0,1.62,1.40547270886116,8,8,"density_stratified",1,-1.62,0,-29.8973528539863,0.649378706950577,FALSE
"unknown3","STB",0.0371873118912411,14,13.85,4.03363384805835,8,8,"density_stratified",1,0.15,1.01083032483676,0.0155408522188501,0.987321451996223,FALSE
"vCTB2","STB",1.67092650269895,66,52.22,8.24692167852449,8,8,"density_stratified",1,13.78,1.26388356948939,0.337863567934187,0.413487672587558,FALSE
"vCTBp","STB",0.524617264321303,1,0.57,0.819645156038991,8,8,"density_stratified",1,0.43,1.75438596183441,0.810966173901276,0.863699473049117,FALSE
"Endothelial_cells","unknown2",-0.117439082017607,1,1.13,1.10695688053037,8,8,"density_stratified",1,-0.13,0.884955751429243,-0.176322772286939,0.9691503608638,FALSE
"EVT2","unknown2",0.699068920155291,5,3.32,2.40319652449681,8,8,"density_stratified",1,1.68,1.50602409593192,0.590744853838565,0.814050693384726,FALSE
"EVT3","unknown2",-0.790907862470316,0,0.88,1.11264540532004,8,8,"density_stratified",1,-0.88,0,-29.8973528539863,0.787429308717832,FALSE
"Fibroblast1","unknown2",-0.737884505199143,1,2.47,1.99218168819711,8,8,"density_stratified",1,-1.47,0.404858299431231,-1.30451103883058,0.801512454653993,FALSE
"Fibroblast2","unknown2",0.29589895295908,18,16.73,4.29200572358811,8,8,"density_stratified",1,1.27,1.07591153609827,0.105559462433355,0.919274161574728,FALSE
"Hofbauer cells","unknown2",-1.40049371958523,2,5.61,2.57766239727848,8,8,"density_stratified",1,-3.61,0.356506238795632,-1.48800076704447,0.53649448525355,FALSE
