"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0.00567760454510549,0.385781026570285,0.482,0.434,1,"N5","DDX10"
0.00569395527223187,0.446328951871629,0.37,0.317,1,"N5","AP2A2"
0.00575651858798532,0.296336380984622,0.132,0.089,1,"N5","TFEC"
0.00577637957929137,0.458813806177258,0.15,0.105,1,"N5","AC079781.5"
0.00582283113445219,0.394593286000944,0.209,0.156,1,"N5","ARMCX4"
0.00583477866543201,0.303967383381689,0.304,0.245,1,"N5","ARRB1"
0.00589399929196538,0.350630466073183,0.372,0.312,1,"N5","RSBN1L"
0.00591385273857128,0.316408356504852,0.324,0.256,1,"N5","RPS5"
0.00592796353286077,0.39780725944125,0.357,0.298,1,"N5","KPNA3"
0.00596540203697687,0.374958057275749,0.3,0.237,1,"N5","ACAD11"
0.00607096873516975,0.25850146300336,0.41,0.342,1,"N5","SFSWAP"
0.00607854058784449,0.620176794116146,0.13,0.088,1,"N5","PRKCB"
0.00613901819091238,0.603044539141014,0.209,0.158,1,"N5","PTPRE"
0.00615108401450958,0.334555703215112,0.315,0.255,1,"N5","HSDL2"
0.00616026913769145,0.502109800194677,0.258,0.2,1,"N5","MRPL3"
0.00618482809226338,0.430415718622628,0.192,0.142,1,"N5","ANGEL2"
0.00626321862295685,0.695303046993002,0.136,0.094,1,"N5","LAMB2"
0.00627378147559694,0.306306226410938,0.158,0.11,1,"N5","CTTNBP2"
0.00631255755773009,0.890637083949139,0.103,0.067,1,"N5","LINC01094"
0.00640969468766349,0.475648022449712,0.152,0.106,1,"N5","FSCN1"
0.00650601520998929,0.342011508134159,0.233,0.176,1,"N5","RCL1"
0.00651917934795688,0.354400514611983,0.238,0.184,1,"N5","POT1"
0.00652690589238577,0.371392471395483,0.211,0.158,1,"N5","A2M"
0.0065829344878653,0.316763808739398,0.295,0.235,1,"N5","SDK1"
0.0067253755119188,0.564037549337879,0.108,0.07,1,"N5","AC025171.2"
0.00674523666781916,0.543142325026529,0.126,0.086,1,"N5","SNHG25"
0.00675079089856161,0.513216551721806,0.207,0.158,1,"N5","ACTR3B"
0.00694620811224573,0.656483798102474,0.126,0.086,1,"N5","KLHL36"
0.00695070146752032,0.455647520132473,0.17,0.123,1,"N5","PYROXD1"
0.00706082329047734,0.327891972934101,0.264,0.207,1,"N5","STX6"
0.00707682783782399,0.312888964975324,0.619,0.572,1,"N5","FCHO2"
0.00713072842842514,0.309200128938218,0.332,0.267,1,"N5","CENPC"
0.00724195253059863,0.762371807215258,0.156,0.113,1,"N5","ASTN2"
0.0073026526020689,0.551653824882047,0.172,0.127,1,"N5","CCPG1"
0.0073402308948702,0.606949609239932,0.194,0.145,1,"N5","BICD1"
0.00735003920905709,0.296183892342593,0.339,0.275,1,"N5","CD99"
0.00736464854644494,0.412884063900071,0.17,0.123,1,"N5","FLOT2"
0.00751736929826785,0.919518203936268,0.108,0.072,1,"N5","C3orf70"
0.00753689527743769,0.373288097703826,0.205,0.154,1,"N5","TANGO6"
0.00755424352912243,0.638132772005412,0.167,0.121,1,"N5","AP000787.1"
0.0076251340728068,0.514763677919285,0.152,0.107,1,"N5","AC096711.2"
0.00769518143839382,0.860624514882699,0.19,0.146,1,"N5","HDAC9"
0.00789693595248448,0.475731766175806,0.222,0.171,1,"N5","PGGT1B"
0.00790136790503445,0.55694812455156,0.104,0.068,1,"N5","DRAP1"
0.00792205443082404,0.339573777981736,0.128,0.087,1,"N5","FCGR2A"
0.0081885051032492,0.250915351825858,0.489,0.436,1,"N5","MAP3K1"
0.00822235230598905,0.359309750221122,0.643,0.588,1,"N5","DISC1"
0.00828507523518355,0.25563864599089,0.478,0.42,1,"N5","ASXL1"
0.00832966704444766,0.39010169465011,0.438,0.379,1,"N5","CYFIP1"
0.00837225172350035,0.272846131016127,0.372,0.308,1,"N5","SGK3"
0.00838206676214164,0.549823690118178,0.214,0.166,1,"N5","ZNF710"
0.0084413126731464,0.338683588837788,0.223,0.17,1,"N5","CEP162"
0.00845608743528098,0.650278648575766,0.123,0.085,1,"N5","KITLG"
0.00854198976681843,0.326902130671676,0.249,0.195,1,"N5","OIP5-AS1"
0.00855328910117991,0.451595124405331,0.119,0.08,1,"N5","TMEM127"
0.00855687292601356,0.354364184295292,0.156,0.11,1,"N5","SPAG7"
0.00900272513460296,0.512986921937807,0.306,0.253,1,"N5","MOB3B"
