"dataset","week","celltype_use","PLD1_mean","PLD1_median","MMP2_mean","MMP2_median","MMP9_mean","MMP9_median","CDH1_mean","CDH1_median","GALNT1_mean","GALNT1_median","HLA-G_mean","HLA-G_median","FLT1_mean","FLT1_median","PGF_mean","PGF_median","VEGFA_mean","VEGFA_median","NKG7_mean","NKG7_median","GNLY_mean","GNLY_median","score_MMP_ECM_Remodeling_mean","score_MMP_ECM_Remodeling_median","score_Immune_Tolerance_mean","score_Immune_Tolerance_median","score_Cytotoxic_NK_mean","score_Cytotoxic_NK_median","score_Ethanolamine_Metabolism_mean","score_Ethanolamine_Metabolism_median","ratio_log_PLD1_MMP9_mean","ratio_log_PLD1_MMP9_median","n_cells"
"Multiome",8,"unknown2",0.466422137324422,0,0.454686937217132,0,0.0140643017351668,0,0.515846223693903,0,0.786725092776734,0.786018085829445,0.260747812551108,0,1.51902661774847,1.62830184183819,0.345447149750028,0,0.291079106187673,0,0.0117542886297578,0,0.0366324854870178,0,0.00112747407037485,-0.0147440367894774,0.0110716539726696,-0.0298496861528413,0.0106159856142128,-0.00199335473387296,-0.0472791619030598,-0.0472670101792399,0.288898670661635,0,132
"Multiome",8,"Fibroblast1",0.314115379923216,0,0.146828491864233,0,0,0,0.0497763132909941,0,0.426652385978937,0,0.070936886862772,0,2.48640617887383,2.68266252412227,0.165309454172517,0,0.338214519696911,0,0,0,0.00706322913967238,0,-0.0837795722508573,-0.0986412194644354,-0.0523464696001255,-0.0748849681777166,0.00286242460511974,-0.00159216278462913,-0.033464343007369,-0.0619590649988642,0.198328172013262,0,95
"Multiome",8,"EVT1",0.204728841345715,0,0.767561478856668,0.459808814334796,0.0111417349246833,0,1.16929447554916,1.13010987252452,0.716504341357282,0.734012511085952,0.803744711393439,0.718745006135911,2.01353744705174,2.07344473129524,0.840388771571639,0.939271751238412,0.0198935426606123,0,0,0,0.0144906463531554,0,-0.00184927323697117,-0.0273400741629619,0.120419376556606,0.118891517937192,0.000334601066200108,-0.00174810014047461,-0.0962931505601324,-0.102895010800252,0.137182324557756,0,89
"Multiome",8,"maternal macrophages",0.293884324827812,0,0.21533441804651,0,0.25790283102568,0,0.100402800520526,0,0.477925929051852,0,0.0738560280368697,0,0.331766621590645,0,0.0585524145101584,0,0.141212762774881,0,0.00531422247571252,0,0,0,0.365147375606653,0.36183403472943,0.0748635342403865,0.06679961415969,-0.000210227611157519,-0.0021597750648167,-0.0306346343530963,-0.09172877000289,0.0433736211544368,0,81
"Multiome",8,"unknown1",0.611960401016667,0,0.611102059685333,0,0,0,0.0631042261514127,0,1.00364841283288,1.12373928211785,0.048261784186673,0,1.63776096979142,1.78843437465541,0.0515469902274782,0,0.293840515697571,0,0,0,0,0,0.200649505724533,0.186021845142804,-0.0322797494576214,-0.0665440102937817,-0.00134276168374428,-0.00117193844527403,-0.0469629918263101,-0.0632595205253858,0.3549954747772,0,78
"Multiome",8,"Endothelial_cells",0.520623383407112,0,0.0747528973598961,0,0,0,0.0883504693516342,0,0.446040063600631,0,0.0904857994516186,0,1.80708673841465,2.00568997782536,0.0949176670709917,0,0.108570928875856,0,0,0,0,0,-0.107371085698366,-0.158816775890394,-0.010207134654178,-0.0430114196716114,0.00079173129415524,-0.00225936797110478,-0.0510434129628838,-0.0982606599747336,0.324855450869792,0,52
"Multiome",8,"myeloid_unknown",1.30605220855905,1.79146022244864,0,0,0,0,0.0309838776024716,0,0.509572773479275,0,0.135042344332203,0,0.360531628887193,0,0.0499334980461341,0,0.872330302323406,0,0,0,0.0873739330943979,0,0.233949673540922,0.251042851897567,0.0467217228039911,-0.0383069705533633,0.0158097252655432,-0.00216023160094588,0.161946673487744,0.137428675248879,0.662364851350705,1.02639196403286,40
"Multiome",8,"Hofbauer cells",0.388943423473969,0,0.121667623412742,0,0.0946764387253475,0,0.28685542774807,0,0.32965652653187,0,0.0341551543363057,0,0.751657851788308,0,0,0,0.517337279316898,0,0,0,0,0,0.328932343525706,0.356215470884974,0.0421827447608845,0.0415985211742858,-0.00220510538124823,-0.00193434514571868,0.014457362493697,-0.00385583620304104,0.195269241122835,0,16
"Multiome",8,"Maternal fibroblast",0.204902447062325,0,1.17634559922844,1.43411005926521,0,0,0.402865296003394,0,0.186624111372804,0,0,0,0.55971167261767,0,0.0564285210378269,0,0.495389749051834,0,0,0,0,0,0.305088409821783,0.238705233998456,-0.0539537090091098,-0.102191415577371,-0.00423559963892294,-0.00401356016084987,-0.0940664051392419,-0.0690088675687736,0.116139379625857,0,9
"Multiome",9,"vCTB2",0.0776083558470431,0,0.0163089207729135,0,0.0107262612043577,0,1.28623336796048,1.42289394411059,0.408240740029473,0,0.0451273860856943,0,1.25300072100691,1.37301769660288,0.200368007713779,0,0.0365370309992097,0,0.00130501348119054,0,0.00375047690353255,0,-0.0356976525676517,-0.0440593820676595,-0.00139395383094275,-0.0089704823905222,0.000179412890840738,0,-0.105078586078806,-0.127958957737177,0.0435250351282584,0,1847
