"dataset","niche_cluster","gene","avg_diff","p_val","p_adj"
"STARmap","N1","ANXA4",0.169994076970647,0.685714285714286,1
"STARmap","N1","RPS13",0.169366482853373,1,1
"STARmap","N1","DOP1B",0.169349917869161,0.685714285714286,1
"STARmap","N1","TUBB6",0.169109625694106,0.685714285714286,1
"STARmap","N1","TTC37",0.168606176361915,0.380952380952381,1
"STARmap","N1","RPL10A",0.167736954100945,0.933333333333333,1
"STARmap","N1","MTSS2",0.166741341830803,0.571428571428571,1
"STARmap","N1","SLC39A10",0.166120502801709,0.8,1
"STARmap","N1","LRRC1",0.165738054830243,0.571428571428571,1
"STARmap","N1","PLOD1",0.16482080287665,0.380952380952381,1
"STARmap","N1","EBI3",0.163472841273131,0.571428571428571,1
"STARmap","N1","B4GALT1",0.163369919622528,0.685714285714286,1
"STARmap","N1","GCH1",0.161993031831642,1,1
"STARmap","N1","KDM1A",0.161957054546067,0.304761904761905,1
"STARmap","N1","CALU",0.161664538899978,0.380952380952381,1
"STARmap","N1","RPL36",0.160913334521922,0.933333333333333,1
"STARmap","N1","CLDN4",0.160912249198103,0.685714285714286,1
"STARmap","N1","AKR1B1",0.160733257863809,0.571428571428571,1
"STARmap","N1","TUBA1C",0.160539341364341,0.8,1
"STARmap","N1","PRKDC",0.160065422435189,0.304761904761905,1
"STARmap","N1","PDIA4",0.159910254101623,0.571428571428571,1
"STARmap","N1","MCL1",0.159816807660396,0.933333333333333,1
"STARmap","N1","XAGE2",0.159506652913322,0.8,1
"STARmap","N1","TRIM5",0.159419928361041,0.571428571428571,1
"STARmap","N1","BMT2",0.157657339650165,0.571428571428571,1
"STARmap","N1","GOLGB1",0.156158879709626,0.8,1
"STARmap","N1","CDV3",0.155726161848843,0.304761904761905,1
"STARmap","N1","ATG10",0.154951380588555,0.380952380952381,1
"STARmap","N1","NCOR2",0.154801072554152,0.380952380952381,1
"STARmap","N1","GRB10",0.154536284143388,0.8,1
"STARmap","N1","CSRP1",0.153778446008147,0.571428571428571,1
"STARmap","N1","RREB1",0.153605170916769,0.571428571428571,1
"STARmap","N1","SNX2",0.153307541284697,0.476190476190476,1
"STARmap","N1","PITPNM2",0.153140611710312,0.571428571428571,1
